                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.316,                 4.9048,                 1.5276,                0.86592,                   0.25,                0.42748,                0.18319,                 1.5653,                 6.5621,                 1.7626,              0.0001667,              0.0001667,              0.0001667
                      2,                0.86124,                 2.1103,                 1.1596,                 0.9789,                    0.5,                  0.995,                0.81147,                0.93621,                  2.045,                 1.1864,             0.00034891,             0.00034891,             0.00034891
                      3,                0.79373,                 1.2885,                 1.0736,                 0.6228,                    0.5,                0.35535,                0.24399,                 1.1608,                 2.6881,                 1.2413,             0.00052992,             0.00052992,             0.00052992
                      4,                0.74565,                0.96566,                 1.0578,                 0.6223,                0.94494,                0.99129,                0.79108,                0.88767,                  1.805,                 1.0601,             0.00070971,             0.00070971,             0.00070971
                      5,                0.75455,                0.81075,                 1.0262,                0.90615,                      1,                  0.995,                0.80718,                0.87017,                 1.1942,                 1.0245,              0.0008883,              0.0008883,              0.0008883
                      6,                0.75425,                0.74063,                 1.0566,                0.86452,                0.89286,                0.94301,                0.72173,                0.74823,                 1.0481,                 1.0119,              0.0010657,              0.0010657,              0.0010657
                      7,                0.78966,                0.69455,                 1.0698,                0.64037,                      1,                   0.92,                0.72093,                0.88901,                 2.7503,                 1.1022,              0.0012418,              0.0012418,              0.0012418
                      8,                0.81607,                0.75975,                 1.1194,                0.83333,                0.17857,                0.29754,                0.21895,                 1.1536,                 28.159,                 1.2547,              0.0014168,              0.0014168,              0.0014168
                      9,                0.81738,                 0.8977,                 1.0836,                0.40156,                    0.5,                0.43354,                0.32529,                0.98532,                 7.2605,                 1.0898,              0.0015905,              0.0015905,              0.0015905
                     10,                0.85227,                0.86294,                 1.1152,                0.56399,                0.93711,                0.99079,                0.82294,                0.86871,                  3.871,                 1.1356,              0.0016175,              0.0016175,              0.0016175
                     11,                0.80396,                0.73823,                 1.0757,                0.57408,                0.19643,                0.07429,                 0.0607,                0.97087,                 6.2109,                 1.3015,              0.0016175,              0.0016175,              0.0016175
                     12,                0.76723,                0.64169,                   1.06,                0.02681,                0.73214,                0.15572,                 0.1024,                 2.2224,                 6.3726,                 2.3135,               0.001612,               0.001612,               0.001612
                     13,                0.76126,                0.62886,                 1.0613,                0.02681,                0.73214,                0.15572,                 0.1024,                 3.8731,                 29.615,                 3.5715,              0.0016065,              0.0016065,              0.0016065
                     14,                0.79136,                0.65581,                 1.0641,                0.43176,                0.61689,                0.62191,                0.51153,                0.68948,                 1.6701,                0.97353,               0.001601,               0.001601,               0.001601
                     15,                0.73918,                0.65617,                 1.0282,                0.71826,                0.98214,                0.93971,                0.74984,                0.83105,                 1.6129,                 1.0246,              0.0015955,              0.0015955,              0.0015955
                     16,                0.72526,                0.59254,                 1.0547,                0.89159,                0.32143,                0.42199,                 0.3209,                 0.7968,                   3.99,                 1.0926,                0.00159,                0.00159,                0.00159
                     17,                0.72019,                0.62364,                 1.0575,                0.88697,                0.48919,                0.43871,                0.31807,                0.86035,                 5.2985,                 1.1693,              0.0015845,              0.0015845,              0.0015845
